Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-RGB-Combined0-notf,ConvNext-Nano,15,0.3013146671886071,0.9035,0.9122192458273233,0.9034186940804143,0.903480256386795,0.9586285469840126,0.9025,12,50000,0.35,42,Yes
144-TEST-GASF0-notf,ConvNext-Nano,15,0.24882269553102243,0.8991,0.9040228711455993,0.8990484119985709,0.8990904601324623,0.9631389755462292,0.8999,8,50000,0.35,42,Yes
144-TEST-GADF0-notf,ConvNext-Nano,15,0.24768933187277553,0.9017,0.9068437180796731,0.9016471721652408,0.9016902968982639,0.9635743156763569,0.9026,8,50000,0.35,42,Yes
144-TEST-RPLOT0-notf,ConvNext-Nano,15,0.2572320007240049,0.9008,0.9025526742301458,0.9007750118365473,0.9007970832398743,0.9624782849958982,0.8967,9,50000,0.35,42,Yes
144-TEST-MKF-Combined0-notf,ConvNext-Nano,20,0.26233807139941656,0.9083920288610204,0.9087214621368411,0.908236508851229,0.9083648433926482,0.9615926067926378,0.9086067685964611,12,460000,0.35,42,Yes
144-TEST-MKF0-notf,ConvNext-Nano,20,0.2845290361677923,0.8869466872816812,0.887152308014843,0.8868151278207133,0.8869220638457521,0.9502266266728627,0.8878342781881693,8,460000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,ConvNext-Nano,20,0.2663377056626131,0.9080913932314035,0.9081406404662312,0.9080294080756421,0.9080851304278079,0.9617956207811169,0.9085924526140984,12,460000,0.35,42,Yes
144-TEST-GASF0-notf,ConvNext-Nano,20,0.24256089857881408,0.9096088873618507,0.9097275643419298,0.9095163000288293,0.909597233022758,0.965584867732154,0.9104535303212506,12,460000,0.35,42,Yes
144-TEST-GADF0-notf,ConvNext-Nano,20,0.24085381228444339,0.9117133367691691,0.9120639793489693,0.9115542863480912,0.9116860232653307,0.9661914401614755,0.9112981732806505,11,460000,0.35,42,Yes
144-TEST-RPLOT0-notf,ConvNext-Nano,20,0.23254720072474874,0.9090362480673424,0.9092944268790181,0.908899198045203,0.9090142805858772,0.9664492959714929,0.9103819504094371,10,460000,0.35,42,Yes
144-TEST-GASF0-notf-CSIC-2010,ConvNext-Nano,30,0.30290430148734765,0.865865540759987,0.8859209238266812,0.8450708742362378,0.8621553136872417,0.9356831870964006,0.8583802511909918,29,70000,0.35,42,Yes
144-TEST-GADF0-notf-CSIC-2010,ConvNext-Nano,30,0.3052458406061862,0.8693298690050882,0.8896142969215465,0.8487504705643877,0.8657498516052226,0.9353370206276124,0.8608705067128627,28,70000,0.35,42,Yes
144-TEST-RPLOT0-notf-CSIC-2010,ConvNext-Nano,30,0.2973500485419196,0.8684637869438129,0.8879400728396425,0.8481228824602554,0.8649402275081373,0.9367375650344115,0.8596795149415332,28,70000,0.35,42,Yes
144-TEST-SEQ0-notf-CSIC-2010,ConvNext-Nano,30,0.30785364357296985,0.8437804481974667,0.8855028525706894,0.8141500883213159,0.8359968165139707,0.9238683771078873,0.8412732784755306,6,70000,0.35,42,Yes
