Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-GASF0,ResNet18,50,0.2682079287192311,0.9023,0.9118315093950031,0.9022118382754019,0.9022770389625839,0.9620383246521319,0.8998,12,50000,0.35,42,Yes
144-TEST-GADF0,ResNet18,50,0.242256467596601,0.9025,0.9088301577545584,0.9024376887187264,0.902487317156073,0.9647839516099224,0.9045,5,50000,0.35,42,Yes
144-TEST-RPLOT0,ResNet18,50,0.24546771009747212,0.8994,0.9126719466444352,0.8992811027581915,0.8993600918847762,0.9634850715497085,0.9002,7,50000,0.35,42,Yes
144-TEST-RGB-Combined0,ResNet18,15,0.2500450502212246,0.8999,0.9050051072522982,0.8998470889293921,0.899890119221935,0.9638243472378163,0.9026,8,50000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,ResNet18,15,0.25637590751861233,0.9001,0.9110880829015544,0.8999994959766939,0.9000705476038987,0.9616112449039643,0.9004,14,50000,0.35,42,Yes
144-TEST-MKF0-notf,ResNet18,15,0.30548753345403046,0.877,0.8820040899795502,0.8769426298272032,0.8769865360881233,0.9452421079950737,0.8727,3,50000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,ResNet18,15,0.24572628850754077,0.9049,0.9246879627670828,0.9047330748573814,0.9048301564501527,0.9646667861921934,0.9035,9,50000,0.35,42,Yes
144-TEST-GASF0-notf,ResNet18,15,0.2684452045030487,0.9031,0.9133402275077559,0.9030064350175552,0.9030747291314833,0.9617666320890678,0.9015,13,50000,0.35,42,Yes
144-TEST-GADF0-notf,ResNet18,15,0.2494623348497735,0.903,0.9106041923551171,0.9029275113681257,0.9029836993993186,0.9638800098116538,0.903,7,50000,0.35,42,Yes
144-TEST-RPLOT0-notf,ResNet18,15,0.25972861602616765,0.8976,0.8976997578692494,0.897588464490598,0.8975992012314029,0.9621784511315803,0.8972,7,50000,0.35,42,Yes
144-TEST-BERT-Attention0-notf,ResNet18,20,0.5471662729978561,0.705,0.7242705801791156,0.7005932651198539,0.6969683411602082,0.7774159941394052,0.731,18,140000,0.35,42,Yes
144-TEST-MKF-Combined0-notf,ResNet18,20,0.2544360960323058,0.9075330699192579,0.9079241566277125,0.9073628604364621,0.9075012457470435,0.9638286467107706,0.9076046498310714,12,140000,0.35,42,Yes
144-TEST-MKF0-notf,ResNet18,20,0.2901290619350796,0.8881778617648743,0.8886471259133877,0.887981212930209,0.8881299331542085,0.9514003261853818,0.887848594170532,6,140000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,ResNet18,20,0.2542445610797411,0.9081486571608544,0.9082778034557596,0.9080515683087547,0.9081359301379459,0.9645379332307945,0.908706980473,8,140000,0.35,42,Yes
144-TEST-GASF0-notf,ResNet18,20,0.24176412449993512,0.9095086754853118,0.909692850135334,0.9093933848539348,0.9094921345813878,0.9661466392343729,0.9104678463036133,11,140000,0.35,42,Yes
144-TEST-GADF0-notf,ResNet18,20,0.2291031432821425,0.91092595773922,0.9111837585446478,0.9107898230777429,0.910904615582983,0.9680499062912711,0.9111979614041116,10,140000,0.35,42,Yes
144-TEST-RPLOT0-notf,ResNet18,20,0.24096151427854326,0.9096232033442134,0.910108747263195,0.9094340616885201,0.9095860108820948,0.9667641294402272,0.9100097348680066,10,140000,0.35,42,Yes
144-TEST-MKF-Combined0-notf,ResNet18,20,0.25479580612321595,0.9074471740250816,0.9074610956984182,0.9074074613081822,0.9074441281432396,0.9644096825624497,0.9082488690373933,11,140000,0.35,42,Yes
144-TEST-MKF0-notf,ResNet18,20,0.3293992612789079,0.8878772261352574,0.888525406680122,0.887645922568761,0.887813724887473,0.9467633277428786,0.8881349138177862,9,140000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,ResNet18,20,0.24839815036813928,0.9086354005611865,0.9089839290674107,0.9084754413898155,0.9086069892453837,0.965127333283232,0.908706980473,8,140000,0.35,42,Yes
144-TEST-GASF0-notf,ResNet18,20,0.2402265088575535,0.9095516234323999,0.9100511822970138,0.9093596566642965,0.9095134666018109,0.9659443852923677,0.9107255339861421,14,140000,0.35,42,Yes
