trial,trial_name,arch,blocks,fc_dims,lr,weight_decay,dropout,use_bn,best_val_acc,best_epoch,test_loss,test_acc,test_precision,test_recall,test_f1,test_auc
0,trial000_deep_4b_fat_fc512_lr1e-05_wd0.01_dr0.5_bn0,deep_4b_fat,"[(64, 3, True), (128, 3, True), (256, 3, True), (512, 3, True)]",[512],1e-05,0.01,0.5,False,0.8626238332474374,14,0.31696530548862484,0.862895836912329,0.8671231836579214,0.8622764559428115,0.8624415552765745,0.9394712106612202
1,trial001_wide_k5_5b_fc512x256_lr0.001_wd0.005_dr0.5_bn0,wide_k5_5b,"[(32, 5, True), (64, 5, True), (128, 3, True), (256, 3, False), (256, 3, False)]","[512, 256]",0.001,0.005,0.5,False,0.8853003493099697,14,0.30666499055458074,0.8826089446257802,0.8825871316343449,0.8826144345894575,0.8826110389183781,0.9502182678014486
2,trial002_vgg_5b_b_fc512x256x128_lr0.0005_wd0.01_dr0.4_bn0,vgg_5b_b,"[(64, 3, True), (128, 3, True), (256, 3, True), (512, 3, False), (512, 3, False)]","[512, 256, 128]",0.0005,0.01,0.4,False,0.8864313119166237,12,0.2887415848604161,0.8837399072324343,0.8837430972735871,0.8837009968644927,0.8837367183503012,0.9526211727663033
3,trial003_vgg_5b_wide_fc512x256x128_lr0.0001_wd0.001_dr0.3_bn0,vgg_5b_wide,"[(64, 3, True), (128, 3, True), (256, 3, True), (512, 3, False), (256, 3, False)]","[512, 256, 128]",0.0001,0.001,0.3,False,0.8866746836167898,15,0.2850036164984489,0.8837255912500716,0.8838322322754212,0.8836275527620245,0.8837100869983864,0.9522093673702751
4,trial004_vgg_5b_wide_fc1024x512_lr0.0005_wd0.001_dr0.4_bn0,vgg_5b_wide,"[(64, 3, True), (128, 3, True), (256, 3, True), (512, 3, False), (256, 3, False)]","[1024, 512]",0.0005,0.001,0.4,False,0.8873761667525626,14,0.277385854950318,0.8842409666151291,0.8844401529658565,0.8841102044101947,0.884216120662095,0.953937684765289
5,trial005_deep_4b_b_fc1024x512x256x128_lr0.0005_wd0.001_dr0.3_bn0,deep_4b_b,"[(64, 3, True), (128, 3, True), (256, 3, True), (512, 3, False)]","[1024, 512, 256, 128]",0.0005,0.001,0.3,False,0.8857727767279391,13,0.2852021766239743,0.8811200824600585,0.881108830471885,0.8810965553693528,0.8811191251967203,0.9524184723892335
6,trial006_deep_4b_mix_fc512x256_lr1e-05_wd0.005_dr0.4_bn0,deep_4b_mix,"[(32, 5, True), (64, 3, True), (128, 3, True), (256, 3, False)]","[512, 256]",1e-05,0.005,0.4,False,0.8624806734238103,15,0.32157169891036913,0.8617935062704003,0.8628348133076574,0.8614825271382915,0.8616645744489412,0.9369079510585168
7,trial007_mid_3b_c_fc512x256x128_lr0.001_wd0.001_dr0.4_bn0,mid_3b_c,"[(64, 3, True), (128, 3, True), (256, 3, False)]","[512, 256, 128]",0.001,0.001,0.4,False,0.8874763786291016,13,0.2883430701294989,0.8845845501918341,0.8853919320286919,0.8843243194226572,0.8845045442389213,0.9530171213135674
8,trial008_mid_3b_b_fc1024x512x256x128_lr0.0001_wd0.005_dr0.4_bn1,mid_3b_b,"[(32, 3, True), (64, 3, True), (128, 3, True)]","[1024, 512, 256, 128]",0.0001,0.005,0.4,True,0.8887934490064708,13,0.2786077485375461,0.8874477466643761,0.8875350321204876,0.8873594809763155,0.8874349979062287,0.9533458918373026
9,trial009_wide_k5_5b_fc256_lr0.001_wd0.001_dr0.4_bn1,wide_k5_5b,"[(32, 5, True), (64, 5, True), (128, 3, True), (256, 3, False), (256, 3, False)]",[256],0.001,0.001,0.4,True,0.8845988661741969,11,0.30202981122111006,0.8824801007845159,0.882461428788728,0.8824708333600484,0.8824808232170657,0.9518535274675137
