Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-RGB-Combined0-notf,ConViT,20,0.24731009352510258,0.9078050735841493,0.9083596788098189,0.9076016109574465,0.9077622584895572,0.9641925544207623,0.9076475977781595,15,460000,0.35,42,Yes
144-TEST-MKF-Combined0-notf,ConViT,20,0.25570544142120755,0.9073612781309054,0.9077432407355883,0.9071930330942601,0.9073300110990462,0.9627616472284712,0.9076619137605223,16,460000,0.35,42,Yes
144-TEST-MKF0-notf,ConViT,20,0.28580114569991105,0.8877054343469049,0.8881604672420751,0.8875115378252336,0.887658472606712,0.950918717448878,0.8881635457825116,14,460000,0.35,42,Yes
144-TEST-GASF0-notf,ConViT,20,0.24913760400929694,0.9087356124377255,0.909043879703626,0.9085854382343519,0.9087100302908314,0.9645736398369824,0.9097234152207524,17,460000,0.35,42,Yes
144-TEST-GADF0-notf,ConViT,20,0.24682806359208947,0.910782797915593,0.9111092027810175,0.9106290884166572,0.9107567385092554,0.9651893549612662,0.91092595773922,18,460000,0.35,42,Yes
144-TEST-RPLOT0-notf,ConViT,20,0.253912688397209,0.9089360361908034,0.9091754570094221,0.9088041069664646,0.9089153675923553,0.9641182387655415,0.9090076161026169,19,460000,0.35,42,Yes
TEST-GASF-CSIC-2010,ConViT,30,0.37203528213872217,0.8143336581141063,0.8137091225514004,0.8007704948889468,0.812383362988215,0.9051490361876079,0.8070593330446081,1,70000,0.35,42,Yes
TEST-GADF-CSIC-2010,ConViT,30,0.3345371755967916,0.8285157518674895,0.8590947823066138,0.800528769582718,0.8210480255196368,0.913451288139847,0.823300129926375,17,70000,0.35,42,Yes
TEST-RPLOT-CSIC-2010,ConViT,30,0.335751538715973,0.8235357800151565,0.8581529188899806,0.7938178698636087,0.8150200098491464,0.9112943657757313,0.8207016024252923,14,70000,0.35,42,Yes
TEST-SEQ-CSIC-2010,ConViT,30,0.3747011601512407,0.8033993720905056,0.8180113578994669,0.7787832652824834,0.7970196714499234,0.8961429888319383,0.797747942832395,5,70000,0.35,42,Yes
TEST-GASF-CSIC-2010,ConViT,30,0.13241500431117653,0.9619124797406807,0.9667720390085477,0.9363720891550233,0.9612720529756762,0.9621965693612774,0.9608589951377634,9,70000,0.35,42,Yes
TEST-GADF-CSIC-2010,ConViT,30,0.15682190631553097,0.9545380875202594,0.9581605646994276,0.9258090485695276,0.9537070728096512,0.9474372837658018,0.953322528363047,5,70000,0.35,42,Yes
TEST-RPLOT-CSIC-2010,ConViT,30,0.1497762154543933,0.953808752025932,0.9494817040970248,0.9322287092481704,0.9533569737648326,0.9610310296074517,0.9515397082658023,1,70000,0.35,42,Yes
TEST-SEQ-CSIC-2010,ConViT,30,0.15021330230203606,0.9546596434359805,0.9554785328736211,0.9285284431137725,0.9539690412536916,0.9605166500332669,0.9536871961102107,2,70000,0.35,42,Yes
