Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-MKF-Combined0-notf,FastViT,20,0.2588002165754727,0.9089933001202543,0.9093762114494521,0.9088256047210972,0.9089626842993019,0.9644426281583887,0.9092796197675085,12,140000,0.35,42,Yes
144-TEST-MKF0-notf,FastViT,20,0.3110634059010844,0.8883353375708641,0.888847809895784,0.8881299319698553,0.8882837660472337,0.948170791559952,0.888836396953559,7,140000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,FastViT,20,0.2456664703581593,0.9108830097921319,0.9113841556220268,0.9106913868106405,0.9108454691028033,0.9661082265511765,0.910682586039054,11,140000,0.35,42,Yes
144-TEST-GASF0-notf,FastViT,20,0.2340095532487223,0.9126152436580198,0.9127341316836337,0.9125237211160409,0.9126041042302925,0.9678291660840601,0.9126725075874706,9,140000,0.35,42,Yes
144-TEST-GADF0-notf,FastViT,20,0.2529127485964804,0.9124863998167554,0.912537744516223,0.9124248371840251,0.9124804112156798,0.9676080753699801,0.9138464181412128,10,140000,0.35,42,Yes
144-TEST-RPLOT0-notf,FastViT,20,0.2416380978062701,0.9116847048044436,0.912051067875752,0.911522006920178,0.9116563428874738,0.966284911119575,0.9127727194640096,11,140000,0.35,42,Yes
TEST-GASF-CSIC-2010,FastViT,30,0.2887016052193295,0.8582873227238281,0.8899055979222271,0.8328563258332609,0.8527854398743948,0.9320092134093959,0.8512343005630143,30,70000,0.35,42,Yes
TEST-GADF-CSIC-2010,FastViT,30,0.3007197470040057,0.8468117354119303,0.886434081932459,0.8180250774621376,0.8395333765488138,0.9246439154818097,0.8414898224339541,12,70000,0.35,42,Yes
TEST-RPLOT-CSIC-2010,FastViT,30,0.3027467424352895,0.8462704341236332,0.8819879303279163,0.8185050531375786,0.8394408953174439,0.9252971071149335,0.8436552620181897,14,70000,0.35,42,Yes
TEST-SEQ-CSIC-2010,FastViT,30,0.2894043166538423,0.8607773086499946,0.8901583667965625,0.8362683520111198,0.8556903733331268,0.9356431287946795,0.8552403637938502,30,70000,0.35,42,Yes
TEST-GASF-CSIC-2010,FastViT,30,0.1295145958401287,0.9629254457050244,0.9670860201696236,0.9385728542914171,0.9623423033323679,0.962552016799734,0.9621150729335495,2,70000,0.35,42,Yes
TEST-GADF-CSIC-2010,FastViT,30,,0.7293354943273906,0.3646677471636953,0.5,0.6151845781580614,0.5,0.7293354943273906,1,70000,0.35,42,Yes
TEST-RPLOT-CSIC-2010,FastViT,30,0.1394411084795647,0.9603322528363047,0.9670937461029188,0.9322761144377911,0.9595653312494896,0.9583580172987359,0.9602106969205835,1,70000,0.35,42,Yes
TEST-SEQ-CSIC-2010,FastViT,30,0.12384335099395342,0.9646272285251215,0.9695986669658523,0.940539753825682,0.9640630071935784,0.9626255405854958,0.9638168557536467,3,70000,0.35,42,Yes
