Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-MKF0-notf,MiniCNN,20,0.3009369895100213,0.8728,0.878483606557377,0.872735635295776,0.8727831496357676,0.9454634982321581,0.874,19,50000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,MiniCNN,20,0.25424642144395904,0.8965,0.9028489444558311,0.8964360512030076,0.8964860396710308,0.9609320734990785,0.8975,14,50000,0.35,42,Yes
144-TEST-GASF0-notf,MiniCNN,20,0.2587133017710794,0.8928,0.884478672985782,0.8928616859243572,0.8927968482916347,0.9600596931602117,0.8934,20,50000,0.35,42,Yes
144-TEST-GADF0-notf,MiniCNN,20,0.2558057189535219,0.8949,0.8912652408554868,0.8949203011147235,0.8949012055085849,0.9606521405549793,0.8961,20,50000,0.35,42,Yes
144-TEST-RPLOT0-notf,MiniCNN,20,0.2662476601120763,0.8915,0.9008469324519728,0.8914099787974196,0.8914738146212083,0.9582565297819372,0.8919,18,50000,0.35,42,Yes
144-TEST-MKF0-notf,MiniCNN,20,0.30168301928728913,0.8744,0.8854945968412302,0.8742894671449608,0.8743570386989522,0.9438971058021723,0.8687,12,50000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,MiniCNN,20,0.25641531152085373,0.8931,0.8932391523713421,0.8930875763695313,0.8930990709810199,0.9605874775649625,0.8955,17,50000,0.35,42,Yes
144-TEST-GASF0-notf,MiniCNN,20,0.25391418910540714,0.8941,0.9160809371671992,0.8939108144360595,0.8940025987945606,0.9612743693268377,0.8948,18,50000,0.35,42,Yes
144-TEST-GADF0-notf,MiniCNN,20,0.2519384022004688,0.8952,0.9096612296110415,0.8950700280380964,0.8951513754574706,0.961534461353493,0.8974,18,50000,0.35,42,Yes
144-TEST-RPLOT0-notf,MiniCNN,20,0.25974254124461654,0.891,0.910941475826972,0.8908249517457687,0.8909132572822942,0.9596377336488039,0.8916,20,50000,0.35,42,Yes
144-TEST-MKF-Combined0-notf,MiniCNN,50,0.26278890603885485,0.8938,0.9001640016400164,0.8937352463177897,0.8937854173151578,0.9598963056051711,0.893,24,50000,0.35,42,Yes
144-TEST-MKF0-notf,MiniCNN,50,0.307705937518765,0.8761,0.9034423035289023,0.8758582996877775,0.8759212699872354,0.9446789419542758,0.8717,18,50000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,MiniCNN,50,0.2541938138227112,0.8944,0.907122032486464,0.894283591673279,0.8943597996745768,0.960498773463285,0.895,10,50000,0.35,42,Yes
144-TEST-BERT-Attention0-notf,MiniCNN,20,0.4683314133435488,0.7595,0.7768656223362371,0.7558225648908744,0.7548250859040562,0.8375021016476918,0.7615,17,140000,0.35,42,Yes
144-TEST-BERT-Attention0-notf,MiniCNN,50,0.4705867813900113,0.758,0.7719918245528518,0.7546436406142416,0.7540660021895301,0.8413035820082945,0.7645,16,140000,0.35,42,Yes
144-TEST-BERT-Attention0-notf,MiniCNN,15,0.4529763152822852,0.7655,0.7718728256408189,0.7631723271044499,0.763604650686661,0.8505478294983266,0.7855,14,140000,0.35,42,Yes
144-TEST-BERT-Attention0-notf,MiniCNN,20,0.4595840238034725,0.7635,0.7891441165338613,0.7591811980592784,0.757183347395622,0.8518823757826136,0.793,16,140000,0.35,42,Yes
