Image_Dataset,Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Test_ROC-AUC,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
144-TEST-MKF-Combined0-notf,ViTB16,20,0.24142721944168188,0.907576017866346,0.907989005837305,0.9074010111618933,0.9075427000302719,0.9650794565046229,0.9093225677145966,14,460000,0.35,42,Yes
144-TEST-MKF0-notf,ViTB16,20,0.2829566417732099,0.8868751073698677,0.8868623276635277,0.8868559940519927,0.8868746443531469,0.951370105524131,0.8870898471053084,12,460000,0.35,42,Yes
144-TEST-RGB-Combined0-notf,ViTB16,20,0.23735181445983697,0.9081343411784917,0.908836121094643,0.9079049203342571,0.9080819896948957,0.9656335332537058,0.9085924526140984,13,460000,0.35,42,Yes
144-TEST-GASF0-notf,ViTB16,20,0.23652778054957427,0.9104964782683388,0.9107525865451054,0.9103606173728783,0.9104751178783976,0.9658709547182348,0.9109545897039455,15,460000,0.35,42,Yes
144-TEST-GADF0-notf,ViTB16,20,0.23269237461190567,0.9111120655099353,0.911395789271066,0.9109691653491025,0.9110890119655813,0.9665015583904351,0.9109832216686709,15,460000,0.35,42,Yes
144-TEST-RPLOT0-notf,ViTB16,20,0.24224392064103445,0.9087356124377255,0.9090399027837013,0.9085864319520717,0.9087103075204469,0.9643236624375014,0.9087212964553628,16,460000,0.35,42,Yes
TEST-GASF-CSIC-2010,ViTB16,30,0.32665944542851827,0.8311139980513154,0.8393588004549027,0.8126329887354125,0.8276747387411274,0.9194298931456867,0.8250324815937635,3,70000,0.35,42,Yes
TEST-GADF-CSIC-2010,ViTB16,30,0.31155424000482657,0.8379343942838584,0.8758768448100295,0.8087351953204182,0.8301600391616314,0.9227787671695673,0.8339107838891295,13,70000,0.35,42,Yes
TEST-RPLOT-CSIC-2010,ViTB16,30,0.3385555274449418,0.8355526686153513,0.8778475914723842,0.8049631511887181,0.82698903825214,0.9174015917142058,0.8306626245127761,12,70000,0.35,42,Yes
TEST-SEQ-CSIC-2010,ViTB16,30,0.35867441370825454,0.8093536862617733,0.8158997154787757,0.7896843598876437,0.8052558368864839,0.9024152018841882,0.8055435253356431,4,70000,0.35,42,Yes
TEST-GASF-CSIC-2010,ViTB16,30,0.13650944081514746,0.9630470016207455,0.9682540879711963,0.9378559547571523,0.962427718699875,0.9622417165668663,0.962034035656402,5,70000,0.35,42,Yes
TEST-GADF-CSIC-2010,ViTB16,30,0.15024235714239031,0.9581847649918963,0.9672945682010112,0.9269910179640719,0.9572439870083514,0.9478786926147704,0.9567666126418153,18,70000,0.35,42,Yes
TEST-RPLOT-CSIC-2010,ViTB16,30,0.13038079036920008,0.9626012965964343,0.9669175954200588,0.9379269793745841,0.9620026836097908,0.9625625790086493,0.962034035656402,18,70000,0.35,42,Yes
TEST-SEQ-CSIC-2010,ViTB16,30,0.14571340209234093,0.958063209076175,0.9587330581815681,0.9340627079174983,0.957484163347328,0.9612590527278776,0.9576985413290113,5,70000,0.35,42,Yes
